customer_id,signup_date,city,country,device_type,operating_system,referral_source,funnel_stage_reached, order_value ,discount_used,last_active_timestamp,session_duration_seconds
CUST-00633,15/03/2024,Birmingham,United Kingdom,Mobile,iOS,Instagram Ads,Added to Cart,,No,22/03/2024 03:09,1024
CUST-00257,26/03/2024,London,United Kingdom,Mobile,Android,Direct,Purchased,374.53 ,Yes,14/04/2024 17:28,1555
CUST-00156,29/03/2024,Berlin,Germany,Desktop,Windows,Google Search,Added to Cart,,No,09/04/2024 04:12,1165
CUST-01216,26/12/2024,Sydney,Australia,Tablet,Android,Email Campaign,Viewed,,No,01/01/2025 00:05,1734
CUST-00588,13/03/2024,Toronto,Canada,Mobile,Android,Email Campaign,Viewed,,No,17/03/2024 15:31,892
CUST-00813,21/06/2024,Melbourne,Australia,Mobile,Android,Email Campaign,Viewed,,No,03/07/2024 06:28,977
CUST-00125,04/10/2024,Berlin,Germany,Mobile,iOS,Email Campaign,Added to Cart,,No,13/10/2024 15:11,1370
CUST-01370,18/07/2024,Manchester,United Kingdom,Desktop,macOS,Affiliate,Purchased,363.15 ,Yes,20/07/2024 22:47,1650
CUST-00797,04/03/2024,Birmingham,United Kingdom,Desktop,Windows,Direct,Checkout,,No,06/04/2024 08:32,192
CUST-01709,13/09/2024,Melbourne,Australia,Mobile,iOS,Facebook Ads,Added to Cart,,No,01/10/2024 04:37,
CUST-00839,29/11/2024,Leeds,United Kingdom,Mobile,iOS,Facebook Ads,Added to Cart,,No,11/12/2024 21:38,1229
CUST-01261,30/03/2024,Sydney,Australia,Mobile,Android,Email Campaign,Checkout,,No,14/04/2024 23:18,1683
CUST-00220,11/04/2024,New York,United States,Tablet,Android,Google Search,Purchased,411.01 ,Yes,12/04/2024 04:10,1385
CUST-01106,21/01/2024,London,United Kingdom,Desktop,macOS,Instagram Ads,Added to Cart,,No,22/01/2024 06:24,801
CUST-00880,11/08/2024,New York,United States,Desktop,Windows,Email Campaign,Checkout,,No,23/08/2024 02:08,498
CUST-00931,07/02/2024,Melbourne,Australia,Mobile,iOS,Instagram Ads,Viewed,,No,07/02/2024 21:44,
CUST-00315,05/05/2024,Toronto,Canada,Mobile,iOS,Affiliate,Added to Cart,,No,15/05/2024 03:53,600
CUST-01452,20/07/2024,New York,United States,Desktop,macOS,Google Search,Viewed,,No,03/08/2024 03:48,429
CUST-00570,16/03/2024,Berlin,Germany,Mobile,Android,Facebook Ads,Viewed,,No,23/03/2024 11:13,668
CUST-01780,30/03/2024,Toronto,Canada,Tablet,iPadOS,Direct,Viewed,,No,17/04/2024 15:39,661
CUST-01738,26/09/2024,Melbourne,Australia,Desktop,macOS,Facebook Ads,Viewed,,No,28/09/2024 13:45,734
CUST-01578,09/02/2024,Toronto,Canada,Desktop,macOS,Direct,Added to Cart,,No,10/09/2024 01:59,
CUST-00721,21/07/2024,Manchester,United Kingdom,Desktop,Windows,Google Search,Viewed,,No,06/08/2024 07:56,669
CUST-01069,29/09/2024,Toronto,Canada,Mobile,Android,Referral,Viewed,,No,16/10/2024 00:39,
CUST-00591,18/08/2024,Manchester,United Kingdom,Mobile,iOS,Google Search,Viewed,,No,29/08/2024 19:34,444
CUST-00645,26/04/2024,London,United Kingdom,Mobile,Android,Affiliate,Viewed,,No,06/05/2024 06:46,271
CUST-00083,27/11/2024,Chicago,United States,Mobile,Android,Affiliate,Viewed,,No,15/12/2024 16:11,304
CUST-00738,03/04/2024,Chicago,United States,Tablet,Android,Referral,Checkout,,No,13/04/2024 03:45,389
CUST-00455,07/09/2024,Los Angeles,United States,Desktop,Windows,Referral,Checkout,,No,28/07/2024 10:06,1016
CUST-00532,15/08/2024,Manchester,United Kingdom,Mobile,Android,Facebook Ads,Added to Cart,,No,27/08/2024 18:22,1641
CUST-00515,08/01/2024,Sydney,Australia,Mobile,iOS,Google Search,Added to Cart,,No,12/08/2024 16:49,395
CUST-00849,23/09/2024,London,United Kingdom,Desktop,Windows,Affiliate,Viewed,,No,08/10/2024 06:46,1728
CUST-00150,12/10/2024,New York,United States,Tablet,iPadOS,Email Campaign,Added to Cart,,No,23/10/2024 04:08,190
CUST-00712,29/09/2024,Manchester,United Kingdom,Mobile,iOS,Email Campaign,Viewed,,No,16/10/2024 21:57,96
CUST-01275,12/12/2024,London,United Kingdom,Tablet,iPadOS,Google Search,Viewed,,No,15/12/2024 01:09,
CUST-01628,26/03/2024,Dublin,Ireland,Desktop,macOS,Email Campaign,Viewed,,No,14/04/2024 01:19,1149
CUST-00860,12/10/2024,London,United Kingdom,Mobile,iOS,Affiliate,Added to Cart,,No,18/10/2024 18:34,776
CUST-00001,20/05/2024,Manchester,United Kingdom,Mobile,Android,Affiliate,Purchased,116.21 ,Yes,04/06/2024 14:54,1672
CUST-00241,21/01/2024,Manchester,United Kingdom,Desktop,Windows,Instagram Ads,Checkout,,No,22/01/2024 09:41,1067
CUST-00196,07/04/2024,Dublin,Ireland,Desktop,Windows,Email Campaign,Purchased,81.81 ,Yes,13/04/2024 20:54,
CUST-00800,17/11/2024,Melbourne,Australia,Mobile,iOS,Direct,Purchased,77.36 ,Yes,18/11/2024 16:04,
CUST-01007,14/05/2024,Leeds,United Kingdom,Tablet,Android,Direct,Added to Cart,,No,29/05/2024 18:49,385
CUST-01139,30/06/2024,New York,United States,Tablet,Android,Affiliate,Viewed,,No,11/07/2024 11:28,1108
CUST-01075,12/10/2024,Manchester,United Kingdom,Mobile,iOS,Affiliate,Purchased,140.61 ,No,01/11/2024 12:30,189
CUST-01276,11/11/2024,Manchester,United Kingdom,Mobile,Android,Affiliate,Viewed,,No,22/11/2024 04:06,1730
CUST-00075,25/06/2024,Los Angeles,United States,Tablet,iPadOS,Referral,Viewed,,No,08/07/2024 09:39,
CUST-01487,13/11/2024,Los Angeles,United States,Desktop,macOS,Google Search,Viewed,,No,24/11/2024 23:18,587
CUST-00973,25/03/2024,London,United Kingdom,Mobile,iOS,Referral,Checkout,,No,12/04/2024 11:25,1383
CUST-00990,08/11/2024,Toronto,Canada,Tablet,Android,Google Search,Viewed,,No,26/11/2024 19:22,1072
CUST-00119,05/10/2024,Manchester,United Kingdom,Tablet,Android,Direct,Added to Cart,,No,15/10/2024 13:05,
CUST-01470,04/10/2024,New York,United States,Tablet,Android,Referral,Viewed,,No,17/10/2024 18:44,1239
CUST-00695,29/08/2024,Berlin,Germany,Mobile,iOS,Referral,Viewed,,No,30/08/2024 12:07,1757
CUST-01171,18/11/2024,Paris,France,Mobile,Android,Google Search,Added to Cart,,No,04/12/2024 09:24,1499
CUST-01583,20/06/2024,Paris,France,Mobile,Android,Affiliate,Viewed,,No,22/06/2024 06:12,1764
CUST-00642,05/08/2024,London,United Kingdom,Mobile,iOS,Email Campaign,Added to Cart,,No,09/05/2024 19:12,553
CUST-00252,15/04/2024,Toronto,Canada,Tablet,iPadOS,Direct,Viewed,,No,30/04/2024 18:51,1129
CUST-01116,07/03/2024,Sydney,Australia,Desktop,macOS,Facebook Ads,Purchased,164.83 ,Yes,17/03/2024 11:19,211
CUST-01409,18/05/2024,New York,United States,Mobile,Android,Email Campaign,Viewed,,No,24/05/2024 04:21,329
CUST-01754,14/09/2024,London,United Kingdom,Desktop,Windows,Facebook Ads,Viewed,,No,20/09/2024 20:08,420
CUST-00668,27/05/2024,Melbourne,Australia,Mobile,Android,Google Search,Added to Cart,,No,02/06/2024 07:58,1056
CUST-00381,13/01/2024,New York,United States,Tablet,iPadOS,Email Campaign,Checkout,,No,14/01/2024 01:37,1390
CUST-00863,25/04/2024,London,United Kingdom,Desktop,Windows,Facebook Ads,Viewed,,No,09/05/2024 16:33,1790
CUST-00450,10/03/2024,New York,United States,Desktop,Windows,Direct,Viewed,,No,11/10/2024 19:34,112
CUST-01219,17/06/2024,Los Angeles,United States,Desktop,Windows,Email Campaign,Viewed,,No,28/06/2024 11:08,1086
CUST-00035,28/06/2024,London,United Kingdom,Mobile,iOS,Instagram Ads,Purchased,221.00 ,No,08/07/2024 06:09,1258
CUST-00781,25/12/2024,New York,United States,Tablet,iPadOS,Instagram Ads,Viewed,,No,04/01/2025 07:28,365
CUST-01244,06/12/2024,New York,United States,Desktop,Windows,Direct,Viewed,,No,19/12/2024 03:37,1328
CUST-01644,03/03/2024,London,United Kingdom,Desktop,macOS,Instagram Ads,Purchased,398.98 ,No,04/03/2024 13:27,1510
CUST-00994,25/03/2024,Chicago,United States,Mobile,iOS,Affiliate,Viewed,,No,02/04/2024 16:29,1221
CUST-01303,17/01/2024,Dublin,Ireland,Mobile,iOS,Affiliate,Added to Cart,,No,21/01/2024 19:10,
CUST-01270,23/01/2024,Birmingham,United Kingdom,Desktop,macOS,Email Campaign,Added to Cart,,No,10/02/2024 15:37,651
CUST-01334,20/10/2024,Los Angeles,United States,Mobile,iOS,Referral,Viewed,,No,05/11/2024 10:05,1752
CUST-01266,30/07/2024,Los Angeles,United States,Tablet,Android,Affiliate,Purchased,151.25 ,No,31/07/2024 06:57,1558
CUST-00052,05/10/2024,Chicago,United States,Mobile,Android,Instagram Ads,Viewed,,No,12/10/2024 07:44,805
CUST-00595,14/07/2024,Berlin,Germany,Mobile,Android,Email Campaign,Viewed,,No,27/07/2024 22:10,
CUST-00969,15/06/2024,New York,United States,Tablet,Android,Google Search,Viewed,,No,15/06/2024 22:55,256
CUST-01576,01/09/2024,Birmingham,United Kingdom,Mobile,iOS,Google Search,Viewed,,No,07/09/2024 20:25,375
CUST-01630,29/09/2024,Toronto,Canada,Mobile,Android,Instagram Ads,Added to Cart,,No,01/10/2024 06:22,510
CUST-01119,20/07/2024,Toronto,Canada,Mobile,Android,Direct,Viewed,,No,28/07/2024 09:45,1577
CUST-00272,21/02/2024,New York,United States,Mobile,iOS,Affiliate,Checkout,,No,03/03/2024 02:50,777
CUST-01393,28/01/2024,New York,United States,Mobile,iOS,Direct,Added to Cart,,No,06/02/2024 03:48,1739
CUST-01020,25/07/2024,Birmingham,United Kingdom,Mobile,iOS,Facebook Ads,Viewed,,No,09/08/2024 13:48,1571
CUST-01686,09/05/2024,Leeds,United Kingdom,Desktop,macOS,Facebook Ads,Purchased,409.70 ,Yes,14/05/2024 18:44,1066
CUST-01208,21/03/2024,Dublin,Ireland,Tablet,Android,Instagram Ads,Viewed,,No,28/03/2024 13:29,363
CUST-00264,12/02/2024,Leeds,United Kingdom,Mobile,iOS,Referral,Purchased,171.49 ,No,08/12/2024 15:51,1215
CUST-00290,10/12/2024,Melbourne,Australia,Mobile,Android,Facebook Ads,Viewed,,No,01/11/2024 03:28,618
CUST-00199,20/10/2024,Los Angeles,United States,Mobile,Android,Direct,Viewed,,No,09/11/2024 14:34,448
CUST-00131,04/07/2024,Toronto,Canada,Mobile,iOS,Facebook Ads,Added to Cart,,No,25/04/2024 14:52,448
CUST-00054,01/12/2024,Berlin,Germany,Desktop,Windows,Email Campaign,Viewed,,No,08/12/2024 05:37,1570
CUST-00696,02/03/2024,London,United Kingdom,Desktop,macOS,Facebook Ads,Viewed,,No,15/03/2024 04:02,663
CUST-01769,22/07/2024,Toronto,Canada,Desktop,macOS,Google Search,Viewed,,No,05/08/2024 03:14,113
CUST-00547,11/11/2024,Los Angeles,United States,Desktop,macOS,Facebook Ads,Added to Cart,,No,11/11/2024 20:45,1098
CUST-00359,12/11/2024,Manchester,United Kingdom,Mobile,iOS,Google Search,Viewed,,No,25/11/2024 01:40,1689
CUST-00090,17/08/2024,London,United Kingdom,Mobile,iOS,Instagram Ads,Checkout,,No,24/08/2024 01:24,874
CUST-00345,20/10/2024,Toronto,Canada,Desktop,Windows,Email Campaign,Added to Cart,,No,02/11/2024 22:04,1359
CUST-01022,16/11/2024,Chicago,United States,Mobile,iOS,Affiliate,Viewed,,No,22/11/2024 21:06,1226
CUST-01428,16/03/2024,Manchester,United Kingdom,Tablet,Android,Direct,Viewed,,No,28/03/2024 16:59,1459
CUST-01101,17/01/2024,London,United Kingdom,Tablet,Android,Email Campaign,Added to Cart,,No,24/01/2024 11:48,1571
CUST-01035,14/05/2024,Dublin,Ireland,Tablet,Android,Facebook Ads,Viewed,,No,20/05/2024 04:19,538
CUST-00467,09/12/2024,Toronto,Canada,Desktop,Windows,Email Campaign,Added to Cart,,No,17/12/2024 13:12,55
CUST-00240,23/04/2024,Chicago,United States,Desktop,macOS,Email Campaign,Added to Cart,,No,07/05/2024 13:46,1271
CUST-00057,05/10/2024,London,United Kingdom,Tablet,iPadOS,Email Campaign,Viewed,,No,30/05/2024 19:43,883
CUST-00787,17/10/2024,London,United Kingdom,Mobile,iOS,Google Search,Viewed,,No,22/10/2024 11:30,331
CUST-00502,07/01/2024,Melbourne,Australia,Mobile,Android,Facebook Ads,Viewed,,No,09/01/2024 00:10,1038
CUST-01430,16/04/2024,Toronto,Canada,Tablet,iPadOS,Instagram Ads,Added to Cart,,No,22/04/2024 11:55,1532
CUST-00300,29/03/2024,Manchester,United Kingdom,Desktop,Windows,Facebook Ads,Viewed,,No,30/03/2024 21:46,868
CUST-00814,10/12/2024,Chicago,United States,Desktop,macOS,Referral,Viewed,,No,17/12/2024 16:50,1146
CUST-00525,29/10/2024,Toronto,Canada,Desktop,Windows,Email Campaign,Viewed,,No,07/11/2024 05:30,311
CUST-00382,20/07/2024,Chicago,United States,Tablet,Android,Facebook Ads,Viewed,,No,04/08/2024 13:04,597
CUST-01494,03/12/2024,London,United Kingdom,Mobile,iOS,Facebook Ads,Viewed,,No,18/12/2024 15:08,1371
CUST-01547,05/06/2024,Toronto,Canada,Desktop,Windows,Referral,Added to Cart,,No,19/06/2024 08:14,535
CUST-00206,07/09/2024,Birmingham,United Kingdom,Tablet,iPadOS,Affiliate,Viewed,,No,26/09/2024 22:37,598
CUST-01618,11/06/2024,Leeds,United Kingdom,Mobile,iOS,Affiliate,Checkout,,No,20/06/2024 10:09,322
CUST-01433,22/11/2024,London,United Kingdom,Mobile,iOS,Direct,Viewed,,No,07/12/2024 19:47,1157
CUST-01467,18/09/2024,Toronto,Canada,Desktop,Windows,Direct,Checkout,,No,29/09/2024 04:25,791
CUST-01617,02/05/2024,Melbourne,Australia,Desktop,Windows,Affiliate,Checkout,,No,12/05/2024 16:20,733
CUST-00124,31/07/2024,London,United Kingdom,Tablet,Android,Direct,Viewed,,No,06/08/2024 02:37,107
CUST-01545,17/04/2024,London,United Kingdom,Desktop,Windows,Google Search,Viewed,,No,21/04/2024 08:20,1623
CUST-00560,24/04/2024,New York,United States,Desktop,Windows,Facebook Ads,Viewed,,No,12/05/2024 16:39,1701
CUST-01678,04/11/2024,New York,United States,Mobile,iOS,Facebook Ads,Purchased,19.97 ,No,30/04/2024 23:50,1514
CUST-00982,03/04/2024,New York,United States,Tablet,Android,Direct,Added to Cart,,No,19/04/2024 07:43,1699
CUST-00566,15/08/2024,Chicago,United States,Tablet,iPadOS,Google Search,Added to Cart,,No,01/09/2024 19:56,1062
CUST-01429,26/04/2024,Los Angeles,United States,Mobile,Android,Direct,Viewed,,No,03/05/2024 17:15,1647
CUST-01800,22/04/2024,Berlin,Germany,Tablet,Android,Referral,Viewed,,No,06/05/2024 00:41,1598
CUST-00510,10/03/2024,Manchester,United Kingdom,Mobile,Android,Facebook Ads,Added to Cart,,No,30/03/2024 10:05,779
CUST-01289,14/03/2024,Leeds,United Kingdom,Desktop,macOS,Google Search,Viewed,,No,29/03/2024 11:24,1098
CUST-00262,24/12/2024,Leeds,United Kingdom,Tablet,Android,Direct,Viewed,,No,13/01/2025 18:53,980
CUST-00023,23/08/2024,New York,United States,Mobile,Android,Facebook Ads,Viewed,,No,10/09/2024 22:43,1328
CUST-01314,02/07/2024,Leeds,United Kingdom,Tablet,Android,Google Search,Viewed,,No,19/07/2024 17:11,51
CUST-01307,03/11/2024,London,United Kingdom,Mobile,Android,Google Search,Added to Cart,,No,13/11/2024 17:23,149
CUST-00711,09/12/2024,London,United Kingdom,Desktop,Windows,Direct,Added to Cart,,No,19/12/2024 16:37,243
CUST-00392,10/01/2024,London,United Kingdom,Mobile,Android,Facebook Ads,Added to Cart,,No,30/01/2024 02:37,36
CUST-00985,27/06/2024,London,United Kingdom,Desktop,Windows,Email Campaign,Checkout,,No,09/07/2024 14:56,1592
CUST-00389,18/05/2024,Dublin,Ireland,Desktop,macOS,Google Search,Added to Cart,,No,25/05/2024 19:11,467
CUST-01426,08/06/2024,New York,United States,Desktop,Windows,Referral,Viewed,,No,11/08/2024 16:39,625
CUST-01654,26/09/2024,Berlin,Germany,Mobile,Android,Email Campaign,Checkout,,No,29/09/2024 20:31,1007
CUST-01799,26/04/2024,New York,United States,Desktop,Windows,Facebook Ads,Viewed,,No,14/05/2024 20:15,687
CUST-00750,21/01/2024,Toronto,Canada,Mobile,Android,Email Campaign,Viewed,,No,27/01/2024 15:38,459
CUST-01189,04/05/2024,Dublin,Ireland,Mobile,Android,Referral,Viewed,,No,21/05/2024 17:16,1050
CUST-00580,27/10/2024,Birmingham,United Kingdom,Mobile,iOS,Direct,Added to Cart,,No,10/11/2024 13:21,1042
CUST-00520,06/11/2024,London,United Kingdom,Desktop,macOS,Direct,Viewed,,No,14/11/2024 22:38,1796
CUST-01730,19/11/2024,New York,United States,Desktop,Windows,Instagram Ads,Added to Cart,,No,07/12/2024 23:39,1360
CUST-01259,25/06/2024,London,United Kingdom,Desktop,Windows,Facebook Ads,Checkout,,No,07/07/2024 09:32,1301
CUST-00473,28/01/2024,New York,United States,Mobile,Android,Direct,Viewed,,No,18/02/2024 06:08,1751
CUST-00398,03/02/2024,Chicago,United States,Mobile,Android,Direct,Added to Cart,,No,18/02/2024 18:14,834
CUST-00669,21/01/2024,Leeds,United Kingdom,Mobile,iOS,Referral,Viewed,,No,27/01/2024 19:39,1716
CUST-00067,03/08/2024,London,United Kingdom,Tablet,iPadOS,Direct,Viewed,,No,08/08/2024 12:09,1364
CUST-01028,29/10/2024,Los Angeles,United States,Desktop,Windows,Google Search,Viewed,,No,31/10/2024 18:40,904
CUST-00265,26/12/2024,Dublin,Ireland,Desktop,Windows,Affiliate,Viewed,,No,31/12/2024 23:29,842
CUST-00589,25/03/2024,Sydney,Australia,Tablet,iPadOS,Referral,Added to Cart,,No,06/04/2024 11:13,1237
CUST-01088,16/02/2024,Toronto,Canada,Mobile,iOS,Google Search,Viewed,,No,20/02/2024 03:13,1538
CUST-00743,30/10/2024,Toronto,Canada,Tablet,iPadOS,Instagram Ads,Added to Cart,,No,31/10/2024 21:06,597
CUST-01239,23/07/2024,London,United Kingdom,Mobile,iOS,Facebook Ads,Checkout,,No,26/07/2024 13:20,1128
CUST-00886,12/08/2024,Toronto,Canada,Tablet,iPadOS,Direct,Purchased,121.73 ,No,18/08/2024 16:12,806
CUST-00735,26/10/2024,Melbourne,Australia,Mobile,Android,Affiliate,Viewed,,No,09/11/2024 09:09,185
CUST-01434,19/08/2024,Toronto,Canada,Desktop,Windows,Direct,Purchased,339.77 ,Yes,22/08/2024 12:44,465
CUST-01445,27/03/2024,Manchester,United Kingdom,Desktop,Windows,Google Search,Purchased,47.79 ,No,30/03/2024 10:29,884
CUST-00440,25/06/2024,Paris,France,Mobile,Android,Affiliate,Viewed,,No,14/07/2024 11:57,868
CUST-01690,01/12/2024,New York,United States,Mobile,Android,Referral,Viewed,,No,05/12/2024 15:22,1712
CUST-00533,26/11/2024,Manchester,United Kingdom,Mobile,Android,Email Campaign,Added to Cart,,No,11/12/2024 13:47,1619
CUST-01461,24/05/2024,Dublin,Ireland,Desktop,Windows,Facebook Ads,Viewed,,No,05/06/2024 20:39,1129
CUST-01026,12/01/2024,Manchester,United Kingdom,Mobile,iOS,Email Campaign,Added to Cart,,No,18/01/2024 04:00,1329
CUST-00223,03/04/2024,Toronto,Canada,Tablet,iPadOS,Instagram Ads,Viewed,,No,22/04/2024 01:08,135
CUST-00322,10/08/2024,Berlin,Germany,Mobile,iOS,Facebook Ads,Viewed,,No,16/10/2024 21:21,238
CUST-01102,17/12/2024,Manchester,United Kingdom,Mobile,iOS,Email Campaign,Purchased,262.69 ,Yes,26/12/2024 07:38,1136
CUST-01323,17/07/2024,Berlin,Germany,Desktop,Windows,Facebook Ads,Added to Cart,,No,31/07/2024 02:03,1671
CUST-00890,10/04/2024,Toronto,Canada,Desktop,Windows,Direct,Purchased,99.60 ,Yes,19/04/2024 05:23,150
CUST-00594,23/02/2024,Sydney,Australia,Mobile,Android,Referral,Viewed,,No,06/03/2024 12:15,448
CUST-00952,22/12/2024,London,United Kingdom,Desktop,Windows,Facebook Ads,Viewed,,No,10/01/2025 15:14,742
CUST-00734,03/04/2024,New York,United States,Tablet,iPadOS,Google Search,Added to Cart,,No,08/04/2024 00:41,635
CUST-01481,23/12/2024,New York,United States,Mobile,iOS,Affiliate,Viewed,,No,12/01/2025 13:45,625
CUST-00908,12/04/2024,Manchester,United Kingdom,Mobile,Android,Direct,Viewed,,No,18/12/2024 19:06,
CUST-00866,18/12/2024,Manchester,United Kingdom,Tablet,iPadOS,Email Campaign,Added to Cart,,No,01/01/2025 07:27,1232
CUST-00313,17/07/2024,Manchester,United Kingdom,Mobile,iOS,Google Search,Checkout,,No,02/08/2024 13:53,914
CUST-00197,11/02/2024,Los Angeles,United States,Desktop,Windows,Referral,Added to Cart,,No,19/02/2024 14:14,554
CUST-00159,06/05/2024,Melbourne,Australia,Desktop,Windows,Email Campaign,Viewed,,No,08/05/2024 22:50,1426
CUST-00612,30/07/2024,Manchester,United Kingdom,Tablet,Android,Referral,Added to Cart,,No,16/08/2024 10:11,621
CUST-00929,19/12/2024,Chicago,United States,Mobile,iOS,Referral,Purchased,124.26 ,No,28/12/2024 09:09,416
CUST-00379,14/10/2024,Toronto,Canada,Mobile,iOS,Email Campaign,Added to Cart,,No,22/10/2024 16:15,670
CUST-00092,03/07/2024,Dublin,Ireland,Tablet,Android,Referral,Viewed,,No,16/07/2024 15:27,48
CUST-01293,05/03/2024,Manchester,United Kingdom,Mobile,iOS,Referral,Checkout,,No,05/05/2024 01:11,1002
CUST-01798,13/04/2024,Toronto,Canada,Mobile,iOS,Facebook Ads,Viewed,,No,22/04/2024 18:47,1198
CUST-00247,08/10/2024,London,United Kingdom,Desktop,Windows,Facebook Ads,Checkout,,No,22/10/2024 23:47,411
CUST-00717,18/12/2024,Paris,France,Mobile,iOS,Direct,Viewed,,No,26/12/2024 22:45,
CUST-00924,03/04/2024,Sydney,Australia,Desktop,Windows,Referral,Viewed,,No,18/03/2024 02:25,1796
CUST-00936,21/03/2024,Manchester,United Kingdom,Desktop,Windows,Facebook Ads,Added to Cart,,No,01/04/2024 09:42,1232
CUST-01527,16/01/2024,Manchester,United Kingdom,Desktop,Windows,Email Campaign,Viewed,,No,26/01/2024 17:20,1763
CUST-01469,10/07/2024,Chicago,United States,Mobile,iOS,Email Campaign,Added to Cart,,No,10/10/2024 08:13,148
CUST-00816,07/01/2024,London,United Kingdom,Mobile,iOS,Affiliate,Viewed,,No,21/01/2024 16:25,299
CUST-01152,27/07/2024,Chicago,United States,Mobile,Android,Referral,Added to Cart,,No,05/08/2024 10:53,240
CUST-01310,27/04/2024,Birmingham,United Kingdom,Tablet,Android,Instagram Ads,Purchased,321.74 ,Yes,15/05/2024 08:57,569
CUST-01681,01/12/2024,New York,United States,Desktop,Windows,Direct,Added to Cart,,No,08/12/2024 08:57,
CUST-01367,21/01/2024,Toronto,Canada,Tablet,Android,Affiliate,Added to Cart,,No,01/02/2024 20:41,1260
CUST-00794,09/11/2024,Toronto,Canada,Mobile,Android,Facebook Ads,Viewed,,No,26/11/2024 08:34,1707
CUST-00770,23/05/2024,Paris,France,Desktop,macOS,Direct,Viewed,,No,23/05/2024 16:02,1214
CUST-01052,21/09/2024,Chicago,United States,Mobile,iOS,Direct,Viewed,,No,05/10/2024 06:48,1441
CUST-01300,25/01/2024,Sydney,Australia,Mobile,iOS,Google Search,Viewed,,No,08/02/2024 04:52,355
CUST-01234,26/07/2024,Melbourne,Australia,Mobile,iOS,Instagram Ads,Added to Cart,,No,30/07/2024 12:20,276
CUST-00441,03/07/2024,Leeds,United Kingdom,Desktop,Windows,Facebook Ads,Viewed,,No,07/07/2024 01:11,1026
CUST-01280,29/02/2024,Manchester,United Kingdom,Desktop,Windows,Facebook Ads,Added to Cart,,No,01/03/2024 13:48,1752
CUST-01625,09/05/2024,Chicago,United States,Mobile,iOS,Instagram Ads,Added to Cart,,No,16/05/2024 15:31,
CUST-00759,03/06/2024,Paris,France,Tablet,Android,Affiliate,Viewed,,No,12/06/2024 11:57,1757
CUST-01157,21/10/2024,New York,United States,Mobile,Android,Instagram Ads,Added to Cart,,No,05/11/2024 12:24,103
